_id,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
1,106580996,ADVENTIST HEALTH AND RIDEOUT,20232,04/01/2023,06/30/2023,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,153,1057,243,151,654,0,0,0,465,6,47,2623,0,6030,1860,787,3097,0,0,0,1904,23,140,13841,0,15407,2772,2128,15887,0,0,2080,8768,58,3736,50836,119770999,35527701,10144164,63224149,0,0,0,50023347,311715,6114750,285116825,78469626,16499018,7932752,67734609,0,0,2541815,47013373,549767,6946459,227687419,2394447,161491896,44507005,15394885,108458518,0,0,0,941823,50258665,0,3422617,0,0,0,8649136,395518992,0,0,0,0,0,35989365,7146493,2565849,20691617,0,0,1972340,44667819,71519,4180250,117285252,6159163,128226733,0,320503,0,0,0,0,1084385,301390128,0,0,0,0,0,0,0,0,0,0,0,0,0
2,106150788,ADVENTIST HEALTH BAKERSFIELD,20232,04/01/2023,06/30/2023,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,171,690,821,150,890,0,0,281,884,0,19,3735,0,3254,3628,761,3556,0,0,1156,2805,0,68,15228,0,14299,6240,730,14367,0,0,3220,21227,9,1946,62038,80930536,92309248,14025010,83587876,0,0,23674604,71412137,0,5767462,371706873,65889157,69585593,3686386,76610878,0,0,29471625,110505476,63677,7099607,362912399,2139005,126416603,137339886,16294892,133479999,0,0,0,42200275,140555383,0,2331160,0,0,0,6314621,607071824,0,0,0,0,0,20280631,23213268,1281612,26381304,0,0,10778965,39503684,0,6107984,127547448,3592376,130327141,0,1069173,0,0,0,0,4180858,130376516,0,0,0,0,0,0,0,0,0,0,0,0,0
3,106171049,ADVENTIST HEALTH CLEARLAKE,20232,04/01/2023,06/30/2023,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVE,CLEARLAKE,95422,DAVID SANTOS,25,25,15,134,45,18,92,0,0,17,21,0,1,328,0,594,255,55,275,0,0,54,70,0,9,1312,0,30319,6009,7105,34115,0,0,3614,13743,11,1164,96080,11478936,4363830,480672,6832933,0,0,1127372,1523454,0,207195,26014392,30133083,7750379,3845158,34516076,0,0,4390377,13325295,169031,1631956,95761355,-541321,21144083,7996002,-155357,38064568,-110071,0,0,1183976,8528301,0,462833,0,0,0,2785997,79359011,0,2819237,0,0,2819237,20484834,3960832,4461821,5409810,0,0,4247274,5944171,32091,695140,45235973,1194508,44361255,0,704139,0,0,0,0,1373059,41219976,0,0,0,0,0,0,0,0,0,0,0,0,0
4,106150706,ADVENTIST HEALTH DELANO,20232,04/01/2023,06/30/2023,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,64,77,51,50,212,0,0,40,23,0,11,464,10,1284,443,2437,946,0,0,177,134,0,55,5476,4092,2209,1371,1646,14899,0,0,3016,1249,0,963,25353,6053464,2249482,7621060,5512881,0,0,1005120,810219,0,546412,23798638,3364807,2333442,1948314,16371147,0,0,3712830,1370964,0,1111776,30213280,573770,7808084,1812523,4565926,13979812,-498888,0,0,2936257,1154577,0,169263,0,0,0,4602,32505926,0,0,0,0,0,1588372,2769506,5181441,8267049,0,0,1779923,1026170,0,893531,21505992,1765945,24185781,0,2181469,0,0,0,0,575177,43620728,0,0,0,0,0,0,0,0,0,0,0,0,0
5,106190323,ADVENTIST HEALTH GLENDALE,20232,04/01/2023,06/30/2023,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,258,1825,540,393,719,0,0,66,836,2,40,4421,0,10048,2859,3254,2787,0,0,183,3802,27,149,23109,0,14776,2895,1013,7700,0,0,1751,16421,5,755,45316,234345481,75420256,33418612,101691301,0,0,11166931,71272152,610023,9312959,537237715,100665660,37745621,6943772,94383351,0,0,7044618,75992573,141228,4222765,327139588,3358788,283296409,96457405,37275180,168567614,0,0,0,9347209,113122341,0,7724660,0,0,0,10773262,729922868,0,0,0,0,0,50642293,14016159,26780,27412492,0,0,7449463,31614404,0,3292844,134454435,11366729,141533817,0,400651,0,0,0,0,3393521,156337562,0,0,0,0,0,0,0,0,0,0,0,0,0
6,106164029,ADVENTIST HEALTH HANFORD,20232,04/01/2023,06/30/2023,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-537-0056,115 MALL DRIVE,HANFORD,93230,TIM HAYDOCK,235,235,112,526,283,144,800,0,0,159,350,0,109,2371,0,2701,1689,632,3085,0,0,487,1194,0,344,10132,0,9232,3656,2111,26914,0,0,3424,13892,21,1940,61190,33886568,22031475,5477144,40631702,0,0,5814064,19137508,0,2589236,129567697,45087166,25937917,9063720,125463725,0,0,16156193,55397956,113595,7654093,284874365,2371119,64956370,43590145,12003584,137111174,-1965708,0,0,15724952,41338921,0,2287878,0,0,0,9347432,326765867,0,6867956,0,0,6867956,13708082,3006681,2750215,37508470,0,0,5200414,30135332,0,2234957,94544151,2282001,94510779,0,8111384,0,0,0,0,4977451,157941407,0,0,0,0,0,0,0,0,0,0,0,0,0
7,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20232,04/01/2023,06/30/2023,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,17,224,47,4,91,0,0,19,25,0,9,419,0,763,173,15,369,0,0,78,110,0,30,1538,0,6207,1261,196,4902,0,0,1657,2870,0,294,17387,17963921,3803229,234300,6458358,0,0,1320424,2788613,0,1064048,33632893,16170858,3501446,637584,13733266,0,0,1606403,10092525,0,990874,46732956,68887,22021083,5298006,973689,16797072,-85548,0,0,1114609,6833108,0,970243,0,0,0,1282538,55273687,0,944603,0,0,944603,12247334,1904969,46936,4272933,0,0,1588294,5455353,0,520946,26036765,289506,22890805,0,931051,0,0,0,0,104275,49057508,0,0,0,0,0,0,0,0,0,0,0,0,0
8,106390923,ADVENTIST HEALTH LODI MEMORIAL,20232,04/01/2023,06/30/2023,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,194,194,89,600,328,103,447,0,0,87,272,0,11,1848,0,2770,1904,509,1612,0,0,351,908,0,32,8086,0,9211,4613,1656,19517,0,0,1753,8989,21,3683,49443,83350930,52865934,10747291,52236769,0,0,10048671,28472972,0,2217508,239940075,68426637,38945818,6502410,82010301,0,0,7823035,56845548,72857,9297761,269924367,1216206,138343283,87578227,19109178,122017074,0,0,0,13901597,56355656,0,2123974,0,0,0,7031367,447676562,0,74869,0,0,74869,12860775,5179472,-1813485,12001933,0,0,3450514,25529459,2088,5051993,62262749,4674708,71147067,0,183226,0,0,0,0,1325966,103510008,0,0,0,0,0,0,0,0,0,0,0,0,0
9,106231013,ADVENTIST HEALTH MENDOCINO COAST,20232,04/01/2023,06/30/2023,Open,Mendocino,01 - Northern California,111,Non Profit Corp.,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,WAYNE ALLEN,25,25,11,124,52,5,26,0,0,5,8,0,6,226,0,539,225,20,115,0,0,24,33,0,30,986,0,12304,1610,57,2188,0,0,2342,4788,55,238,23582,4718075,1966092,172686,898737,0,0,209001,288337,0,245002,8497930,17197971,2915475,231606,5780345,0,0,1141276,5082875,108426,421145,32879119,-81850,4084337,4225408,163617,2703026,0,0,0,1036186,4121772,0,555481,0,0,0,402017,17209994,0,205078,0,0,205078,17780870,684202,241449,4167395,0,0,169867,1300427,0,27923,24372133,77983,22157440,0,179437,0,0,0,0,28795,9410327,0,0,0,0,0,0,0,0,0,0,0,0,0
10,106100797,ADVENTIST HEALTH REEDLEY,20232,04/01/2023,06/30/2023,Open,Fresno,09 - Central,607,Non Profit Corp.,Comparable,Rural,559-537-0056,372 WEST CYPRESS AVENUE,REEDLEY,93654,TIM HAYDOCK,49,49,20,33,24,48,270,0,0,3,45,0,2,425,0,286,235,144,972,0,0,23,94,0,13,1767,0,15819,6865,9617,84259,0,0,1904,22061,2337,2325,145187,1569389,1318988,1122740,7329467,0,0,62226,1207801,0,79099,12689710,10161675,5500126,5045631,56492332,0,0,1534048,13906928,483668,2538665,95663073,806685,4514384,5425053,2725420,38832718,-377508,0,0,641420,7784088,0,1226303,0,0,0,2919382,64497945,0,602485,0,0,602485,7371521,1101095,3281977,25461363,0,0,798767,6139779,12049,290772,44457323,663104,47246884,0,2805224,0,0,0,0,1772450,40441094,0,0,0,0,0,0,0,0,0,0,0,0,0
11,106560525,ADVENTIST HEALTH SIMI VALLEY,20232,04/01/2023,06/30/2023,Open,Ventura,10 - Santa Barbara/Ventura,813,Church,Comparable,,805-955-6000,2975 SYCAMORE DRIVE,SIMI VALLEY,93065,JENNIFER SWENSON,144,130,83,616,364,55,241,0,0,30,389,2,10,1707,0,2924,1566,195,1072,0,0,96,1297,3,29,7182,0,2385,1354,626,4030,0,0,2484,8321,5,342,19547,64677262,37127406,3126099,25125026,0,0,2250096,31199080,76620,2569702,166151291,28976696,19424416,4564665,26731965,0,0,2346361,39802202,8364,3494908,125349577,2067440,81446759,48795083,6639366,45205870,0,0,0,3001275,49006934,0,883357,0,0,0,4743270,241789354,0,0,0,0,0,11888726,7733307,1015427,6610187,0,0,1370117,19958857,0,1134893,49711514,2903480,55180936,0,303005,0,0,0,0,518001,105211174,0,0,0,0,0,0,0,0,0,0,0,0,0
12,106554011,ADVENTIST HEALTH SONORA - GREENLEY,20232,04/01/2023,06/30/2023,Open,Tuolumne,06 - North San Joaquin,513,Church,Comparable,Rural,209-536-5000,1000 GREENLEY ROAD,SONORA,95370,MICHELLE FUENTES,152,152,135,636,61,47,143,0,0,56,160,0,2,1105,8,6123,273,338,540,0,0,220,452,0,17,7963,4320,46667,3586,4203,16863,0,0,2539,28173,8,2388,104427,59493795,6507172,2620069,11678699,0,0,5783635,14715895,0,1261273,102060538,146069284,13759889,3103588,35512195,0,0,11400247,57247734,55309,3117397,270265643,5254403,169512024,17536941,5252480,37668518,0,0,0,12247689,47108401,0,1280167,0,0,0,5019763,300880386,0,4148,0,0,4148,32772461,2554837,297394,8752702,0,0,4393376,22136093,0,543080,71449943,3732498,76296112,0,3538698,0,0,0,0,1627318,75613335,0,0,0,0,0,0,0,0,0,0,0,0,0
